type	latitude	longitude	name	desc	kml_folder
T	59.412151123	17.914787988	Huddinge [11:LineString]		Akalla-Brista-Vallsta.kmz
T	59.412577962	17.915562606			
T	59.413981269	17.916494855			
T	59.416647885	17.917554222			
T	59.418481949	17.918442361			
T	59.419752441	17.918845778			
T	59.421029496	17.919527655			
T	59.422863496	17.919310819			
T	59.423853567	17.919193745			
T	59.424561851	17.919109985			
T	59.425412989	17.919009324			
T	59.426538899	17.918038011			
T	59.427528261	17.917360914			
T	59.428376656	17.916699700			
T	59.429365661	17.915740480			
T	59.430643017	17.914744582			
T	59.431212910	17.914394585			
T	59.431923343	17.913746285			
T	59.433066376	17.913043987			
T	59.433779204	17.912393647			
T	59.434770581	17.910863226			
T	59.435337359	17.909947228			
T	59.435912129	17.909593092			
T	59.436628652	17.908938665			
T	59.437628897	17.907682740			
T	59.438496720	17.907289465			
T	59.438929281	17.906951467			
T	59.439362181	17.906613204			
T	59.440228997	17.905935855			
T	59.440951138	17.905276304			
T	59.441520583	17.904069023			
T	59.442522263	17.902236312			
T	59.443236194	17.900722684			
T	59.443958536	17.899774142			
T	59.444972151	17.898500775			
T	59.445111749	17.897913128			
T	59.446127480	17.896636598			
T	59.446698534	17.895134365			
T	59.447273940	17.893914961			
T	59.447694589	17.892145776			
T	59.448123096	17.890944533			
T	59.448699986	17.889721151			
T	59.448977327	17.888254140			
T	59.449844226	17.886414842			
T	59.450422914	17.885186967			
T	59.450716273	17.884857934			
T	59.451589692	17.883298453			
T	59.452025019	17.882374861			
T	59.452609788	17.881428156			
T	59.453206578	17.881338649			
T	59.454233453	17.879749992			
T	59.454532634	17.879704722			
T	59.455127662	17.879327515			
T	59.455873288	17.878927119			
T	59.456773922	17.878790342			
T	59.457525546	17.878676185			
T	59.458432632	17.878826439			
T	59.459643055	17.878931230			
T	59.460402310	17.879104823			
T	59.461313984	17.879255802			
T	59.462689969	17.879915573			
T	59.463761182	17.880333560			
T	59.464834394	17.880752353			
T	59.465295503	17.880973394			
T	59.465776133	17.882641372			
T	59.466849251	17.882773486			
T	59.467771216	17.882928332			
T	59.468391794	17.883418404			
T	59.469465976	17.883261253			
T	59.471004030	17.883036208			
T	59.472237453	17.882855710			
T	59.472700672	17.882787917			
T	59.473933907	17.882315373			
T	59.475464742	17.880628611			
T	59.476532997	17.879006801			
T	59.476844101	17.878960352			
T	59.477622599	17.878844113			
T	59.479022685	17.878341621			
T	59.480117016	17.878177897			
