type	latitude	longitude	name	desc	kml_folder
T	59.411534612	17.916330090	Huddinge [9:LineString]		Akalla-Hässelby.kmz
T	59.411454141	17.914951119			
T	59.411314310	17.913686312			
T	59.411176167	17.912536948			
T	59.411100634	17.911503628			
T	59.411071428	17.909438682			
T	59.411043819	17.907488455			
T	59.411085243	17.906111778			
T	59.411255110	17.905193363			
T	59.411240461	17.904160316			
T	59.411233948	17.903701184			
T	59.411220919	17.902782919			
T	59.411267240	17.901749213			
T	59.411259089	17.901175218			
T	59.411252566	17.900716020			
T	59.411241149	17.899912426			
T	59.411232991	17.899338429			
T	59.411224832	17.898764433			
T	59.411154058	17.898076807			
T	59.411140996	17.897158539			
T	59.411127928	17.896240269			
T	59.411121393	17.895781135			
T	59.411103412	17.894518513			
T	59.411035917	17.894061106			
T	59.411024469	17.893257729			
T	59.411001560	17.891650972			
T	59.410978636	17.890044212			
T	59.410911153	17.889587489			
T	59.410840411	17.888901418			
T	59.410562525	17.886503056			
T	59.410409740	17.884330411			
T	59.410270140	17.883075852			
T	59.410009194	17.881828840			
T	59.409881286	17.881377627			
T	59.409814076	17.880923114			
T	59.409686271	17.880472339			
T	59.409493052	17.879682224			
T	59.409362137	17.879003325			
T	59.409040073	17.877650653			
T	59.408845727	17.876748536			
T	59.408777150	17.876181418			
T	59.408525988	17.875513100			
T	59.408330411	17.874498725			
T	59.408079725	17.873831983			
T	59.407952843	17.873384843			
T	59.407699282	17.872491305			
T	59.407329289	17.871836165			
T	59.407023059	17.871404852			
T	59.406649252	17.870410460			
T	59.406340664	17.869753507			
T	59.406158331	17.869541512			
T	59.405729646	17.868782752			
T	59.405243984	17.868144094			
T	59.404998277	17.867598702			
T	59.404752835	17.867053909			
T	59.404510924	17.866736053			
T	59.404208495	17.866310950			
T	59.404083718	17.865869721			
T	59.403835996	17.865100990			
T	59.403414949	17.864576200			
T	59.403172843	17.864147823			
T	59.402689411	17.863292467			
T	59.402446454	17.862752844			
T	59.401961318	17.861675358			
T	59.401542152	17.861043628			
T	59.401242066	17.860512884			
T	59.400641469	17.859341367			
T	59.400284482	17.858819341			
T	59.399747635	17.857869947			
T	59.399390451	17.857238303			
T	59.398915094	17.856397702			
T	59.398620131	17.855984925			
T	59.398264747	17.855356426			
T	59.397796644	17.854854402			
T	59.397504788	17.854555110			
T	59.396977836	17.853839390			
T	59.396682212	17.853207804			
T	59.396160448	17.852717151			
T	59.395636698	17.852005857			
T	59.395230916	17.851503063			
T	59.394827498	17.851111918			
T	59.394424825	17.850721501			
T	59.393911649	17.850457329			
T	59.393454370	17.850075907			
T	59.393113652	17.849900637			
T	59.392831203	17.849828251			
T	59.392493078	17.849763530			
T	59.392267422	17.849683763			
T	59.391875905	17.849736765			
T	59.391652506	17.849767007			
T	59.391260519	17.849710076			
T	59.390923272	17.849536002			
T	59.390419998	17.849384965			
T	59.389914715	17.849015434			
T	59.389522715	17.848740773			
T	59.389295387	17.848334297			
T	59.389068295	17.847928245			
T	59.388731291	17.847538223			
T	59.388394811	17.847148821			
T	59.388225174	17.846845351			
T	59.388002384	17.846658980			
T	59.387778234	17.846363919			
T	59.387496381	17.845859522			
T	59.387329036	17.845665965			
T	59.386994738	17.845279316			
T	59.386713901	17.844776553			
T	59.386601668	17.844575630			
T	59.386322927	17.844182303			
T	59.386042958	17.843681047			
T	59.385764937	17.843288816			
T	59.385543097	17.842997066			
T	59.385206796	17.842289440			
T	59.384987117	17.842106761			
T	59.384654846	17.841616932			
T	59.384264413	17.840812450			
T	59.384045697	17.840630950			
T	59.383820868	17.840018130			
T	59.383490391	17.839531265			
T	59.383381400	17.839440990			
T	59.383162006	17.839152872			
T	59.382779000	17.838676286			
T	59.382450126	17.838191666			
T	59.382176714	17.837806302			
T	59.381740615	17.837233698			
T	59.381250669	17.836564131			
T	59.380814882	17.835886958			
T	59.380379979	17.835211184			
T	59.380157337	17.834499510			
T	59.379830892	17.833914256			
T	59.379613538	17.833524589			
T	59.379397978	17.833242080			
T	59.379179488	17.832746460			
T	59.378907077	17.832154311			
T	59.378577804	17.831252944			
T	59.378195062	17.830256333			
T	59.377974631	17.829550842			
T	59.377754419	17.828846072			
T	59.377482215	17.828152107			
T	59.377046138	17.826958674			
T	59.376661353	17.825651229			
T	59.376329140	17.824335567			
T	59.375783884	17.822641273			
T	59.375348020	17.821246636			
T	59.375075649	17.820350005			
T	59.374748932	17.819254420			
T	59.374580249	17.818337764			
T	59.374252683	17.817139467			
T	59.373975358	17.815826006			
T	59.373693644	17.814198114			
T	59.373308301	17.812490954			
T	59.372974699	17.810774601			
T	59.372639997	17.808955718			
T	59.372237498	17.805996975			
T	59.371940467	17.803227007			
T	59.371529557	17.799648412			
T	59.370908786	17.795608353			
T	59.370433103	17.791012485			
T	59.370100219	17.789113678			
T	59.369994641	17.788829798			
T	59.370297263	17.788740396			
T	59.370748875	17.788396582			
T	59.370899108	17.788246876			
T	59.371147629	17.787857343			
T	59.371242675	17.787407770			
T	59.371388511	17.786942793			
T	59.371432906	17.786507944			
T	59.371524906	17.785847790			
T	59.371566146	17.785202714			
T	59.371605798	17.784452493			
T	59.371704257	17.784211467			
T	59.371701069	17.784001460			
