type	latitude	longitude	name	desc	kml_folder
T	59.410509196	17.901299696	Huddinge [10:LineString]		Akalla-Järfäall-Högbytorp.kmz
T	59.409984669	17.897896170			
T	59.409941682	17.894807591			
T	59.409275781	17.892642250			
T	59.408619165	17.891096315			
T	59.408293263	17.890478198			
T	59.408117455	17.889244098			
T	59.406987041	17.887701023			
T	59.406328480	17.885852826			
T	59.406008070	17.885545164			
T	59.405201313	17.884315306			
T	59.404548910	17.882779187			
T	59.403748354	17.881859973			
T	59.403271964	17.881554751			
T	59.402158980	17.880638974			
T	59.401039429	17.879111845			
T	59.399617742	17.878202391			
T	59.398667509	17.877291399			
T	59.398190800	17.876683562			
T	59.397242789	17.875774913			
T	59.396136499	17.874564057			
T	59.395346910	17.873656981			
T	59.394877084	17.873357267			
T	59.394252648	17.873059621			
T	59.393319359	17.872766015			
T	59.392533435	17.871862351			
T	59.391589953	17.870657929			
T	59.390498213	17.869761539			
T	59.389412734	17.869170339			
T	59.388167251	17.867976307			
T	59.387085982	17.867387973			
T	59.386006666	17.866800737			
T	59.385539811	17.866203702			
T	59.384768221	17.865612760			
T	59.384149951	17.865019722			
T	59.383675976	17.863820359			
T	59.383215187	17.863527595			
T	59.382585677	17.862031305			
T	59.381805023	17.860540083			
T	59.381640454	17.859639121			
T	59.381471643	17.858436960			
T	59.381125541	17.855430888			
T	59.380961113	17.854531087			
T	59.380792428	17.853330247			
T	59.380593713	17.850021071			
T	59.380429377	17.849122349			
T	59.380412178	17.847917561			
T	59.380369134	17.844905594			
T	59.380659112	17.843990664			
T	59.380949231	17.843075247			
T	59.381967945	17.840018266			
T	59.382267369	17.839704130			
T	59.383010099	17.838465179			
T	59.383749444	17.836922452			
T	59.384354619	17.836593637			
T	59.385108705	17.835955261			
T	59.385710938	17.835322888			
T	59.386152141	17.834091243			
T	59.387214878	17.833435939			
T	59.387819284	17.832801031			
T	59.388573488	17.831854728			
T	59.389324291	17.830603535			
T	59.389772612	17.829669767			
T	59.390375288	17.828727478			
T	59.391295807	17.828376681			
T	59.391900052	17.827432430			
T	59.392818567	17.826775552			
T	59.394039623	17.825491542			
T	59.394651103	17.824848498			
T	59.395272027	17.824815200			
T	59.396355797	17.824451334			
T	59.397134282	17.824409375			
T	59.398689892	17.824019160			
T	59.399467017	17.823670488			
T	59.400562895	17.823610831			
T	59.401503821	17.823559606			
T	59.402603443	17.823499737			
T	59.403700653	17.823132295			
T	59.404331074	17.823097801			
T	59.405431466	17.822729424			
T	59.406538335	17.822668560			
T	59.407330208	17.822625014			
T	59.408281835	17.822572680			
T	59.409389518	17.822202543			
T	59.410344418	17.822149769			
T	59.411460385	17.822088090			
T	59.412254304	17.821734226			
T	59.412573954	17.821716473			
T	59.413694066	17.821654259			
T	59.414655819	17.821600837			
T	59.415297841	17.821565174			
T	59.416096846	17.821209782			
T	59.416887940	17.820231959			
T	59.418141485	17.817668431			
T	59.418917284	17.815440288			
T	59.419060845	17.814184198			
T	59.419352567	17.811982632			
T	59.420080152	17.806317426			
T	59.420543374	17.804724175			
T	59.420687278	17.803464674			
T	59.421448165	17.799972344			
T	59.422489443	17.793324484			
T	59.424161256	17.785043000			
T	59.424478228	17.784388586			
T	59.425434748	17.782736564			
T	59.426547248	17.780439707			
T	59.427202327	17.780380774			
T	59.428181655	17.779978097			
T	59.429157950	17.779260323			
T	59.429651308	17.779215535			
T	59.430135824	17.778541348			
T	59.430771659	17.776906882			
T	59.431412798	17.775585616			
T	59.432215185	17.773931953			
T	59.432375790	17.773600938			
T	59.433032571	17.773222398			
T	59.434348264	17.772464039			
T	59.435505325	17.772036184			
T	59.436992878	17.771258738			
T	59.438159632	17.771145578			
T	59.438660349	17.771097012			
T	59.439830279	17.770983527			
T	59.440667309	17.770902327			
T	59.441673250	17.770804733			
T	59.442848930	17.770690661			
T	59.443694760	17.770927372			
T	59.445047678	17.771115580			
T	59.446229808	17.771001481			
T	59.447414206	17.770887150			
T	59.448431213	17.770788969			
T	59.450129951	17.770624954			
T	59.451151437	17.770526317			
T	59.452160475	17.769465734			
T	59.452658547	17.768453666			
T	59.453655908	17.766426922			
T	59.455145545	17.762737425			
T	59.455474437	17.761737629			
T	59.455798763	17.760415640			
T	59.455951500	17.759111051			
T	59.456443175	17.757447587			
T	59.456596065	17.756141814			
T	59.457069214	17.753188169			
T	59.457872881	17.749226379			
T	59.458864465	17.746206172			
T	59.459531202	17.744512486			
T	59.460347663	17.741181653			
T	59.461179614	17.738815476			
T	59.462017506	17.736769268			
T	59.463208865	17.735000265			
T	59.463546924	17.734309136			
T	59.464213949	17.732277666			
T	59.465036662	17.728924396			
T	59.466219373	17.726169073			
T	59.466554249	17.725148892			
T	59.467234251	17.723756481			
T	59.467725314	17.721411087			
T	59.467885848	17.720412131			
T	59.468377420	17.718063889			
T	59.469035074	17.715038140			
T	59.469191056	17.713711629			
T	59.469347075	17.712384713			
T	59.469830007	17.709378531			
T	59.469981280	17.707724507			
T	59.470308401	17.706043908			
T	59.470459775	17.704388638			
T	59.470772418	17.701728497			
T	59.470928793	17.700397826			
