type	latitude	longitude	name	desc	kml_folder
T	59.173535163	18.203269361	Huddinge [14:LineString]		Bollmore_Jordbor.kmz
T	59.174060755	18.203539614			
T	59.174586408	18.203692795			
T	59.176344919	18.203890826			
T	59.177050492	18.203780930			
T	59.178231859	18.203596908			
T	59.179837533	18.203346756			
T	59.180857555	18.203427438			
T	59.181459685	18.203453943			
T	59.181882609	18.203508511			
T	59.182306390	18.203563191			
T	59.182792889	18.203728821			
T	59.183826212	18.203690552			
T	59.184435677	18.203596980			
T	59.185110770	18.203735411			
T	59.185355844	18.203697924			
T	59.185910935	18.203855562			
T	59.186530445	18.204125520			
T	59.187153090	18.204517711			
T	59.187527029	18.204704965			
T	59.188027078	18.204995718			
T	59.188528307	18.205287167			
T	59.189217943	18.205551753			
T	59.189912464	18.206061674			
T	59.191050945	18.206632303			
T	59.191622468	18.206918773			
T	59.192195518	18.207206013			
T	59.193213646	18.207307952			
T	59.193660773	18.207368122			
T	59.193981101	18.207446436			
T	59.194429834	18.207506856			
T	59.194815401	18.207576411			
T	59.195330126	18.207628078			
T	59.196040726	18.207776834			
T	59.196690344	18.208059275			
T	59.197406783	18.208333628			
T	59.198189360	18.208475346			
T	59.198452634	18.208688983			
T	59.198846803	18.208885099			
T	59.199044155	18.208983296			
T	59.199308464	18.209197666			
T	59.199705525	18.209519713			
T	59.200101966	18.209717165			
T	59.200759826	18.209629113			
T	59.201290246	18.209809547			
T	59.201623423	18.210016767			
T	59.202422693	18.210288845			
T	59.203030471	18.211092250			
T	59.203840283	18.211872291			
T	59.203975315	18.211981526			
T	59.204384956	18.212688924			
T	59.204795346	18.213397633			
T	59.205070706	18.213997460			
T	59.205612972	18.214311883			
T	59.205817848	18.214540977			
T	59.206366006	18.215237600			
T	59.206571574	18.215467514			
T	59.206981925	18.215800816			
T	59.207327847	18.216397224			
T	59.207878362	18.216971117			
T	59.208363379	18.217681746			
T	59.208570788	18.217913845			
T	59.208919157	18.218514042			
T	59.209196881	18.218867066			
T	59.209405060	18.219100156			
T	59.209752002	18.219446471			
T	59.209963410	18.219936181			
T	59.210176371	18.220554434			
T	59.210388169	18.221045122			
T	59.210666345	18.221272667			
T	59.211230525	18.222370552			
T	59.211938731	18.223843226			
T	59.212080091	18.224086866			
T	59.212363074	18.224574603			
T	59.212999709	18.225545372			
T	59.213424669	18.226151076			
T	59.214068363	18.227513969			
T	59.214423874	18.227999846			
T	59.214782663	18.228745290			
T	59.215140648	18.229362413			
T	59.215852845	18.230080776			
T	59.216141894	18.230706205			
T	59.216428577	18.231072692			
T	59.216786413	18.231433976			
T	59.217289423	18.232044835			
T	59.217793540	18.232657059			
T	59.218154890	18.233151069			
T	59.218589535	18.233771022			
T	59.218952139	18.234266791			
T	59.219388293	18.234888905			
T	59.219679065	18.235260711			
T	59.220044759	18.235889775			
T	59.220264452	18.236267695			
T	59.220703093	18.236893534			
T	59.220922041	18.237141325			
T	59.221142569	18.237520578			
T	59.221363305	18.237900197			
T	59.221805407	18.238660532			
T	59.222100609	18.239168238			
T	59.222468765	18.239672190			
T	59.222762066	18.239917913			
T	59.223278304	18.240546446			
T	59.223574011	18.240925091			
T	59.224090689	18.241423814			
T	59.224753744	18.241783275			
T	59.225198223	18.242155890			
T	59.225790813	18.242521278			
T	59.226383553	18.242754882			
T	59.226755827	18.243000827			
T	59.227500793	18.243360862			
T	59.227949205	18.243604085			
T	59.228696649	18.243832641			
T	59.229596230	18.244054429			
T	59.229897330	18.244173139			
T	59.230424159	18.244280822			
T	59.230953578	18.244522822			
T	59.231331878	18.244638515			
T	59.231863369	18.244881405			
T	59.232167425	18.245001249			
T	59.232779511	18.245510610			
T	59.233851730	18.246135416			
T	59.234311165	18.246249741			
T	59.234619819	18.246506264			
T	59.235160237	18.246888353			
T	59.235391826	18.247013704			
T	59.235855690	18.247264780			
T	59.236319074	18.247380729			
T	59.236783372	18.247496911			
T	59.237325981	18.247610096			
T	59.238574772	18.248239725			
T	59.239513251	18.248475181			
T	59.240298648	18.248717718			
T	59.241008022	18.248964099			
T	59.241481649	18.249083056			
T	59.242035176	18.249199260			
T	59.242590002	18.249315739			
T	59.242906818	18.249303820			
T	59.243144709	18.249294870			
T	59.243621212	18.249276942			
T	59.244337761	18.249249982			
T	59.245378026	18.249349174			
T	59.245860450	18.249469637			
T	59.246181662	18.249457739			
T	59.246746244	18.249575560			
T	59.247149318	18.249560747			
T	59.247553074	18.249545909			
T	59.247957512	18.249531046			
T	59.248443741	18.249513176			
