type	latitude	longitude	name	desc	kml_folder
T	59.598674546	17.861787286	Huddinge [13:LineString]		Brista-Arlanda.kmz
T	59.598833786	17.864507975			
T	59.598866803	17.867016602			
T	59.599182208	17.872232593			
T	59.599221097	17.875197987			
T	59.599353366	17.875868229			
T	59.599750370	17.877880071			
T	59.600009236	17.878765643			
T	59.600138717	17.879208616			
T	59.600295096	17.881706892			
T	59.600451480	17.884205825			
T	59.600710674	17.885093768			
T	59.600728547	17.886464420			
T	59.600987878	17.887353240			
T	59.601624893	17.888662806			
T	59.602005731	17.889312172			
T	59.602401764	17.891106357			
T	59.602656039	17.891540259			
T	59.603037710	17.892191567			
T	59.603167980	17.892637836			
T	59.603926516	17.893484187			
T	59.604439850	17.894584405			
T	59.604692259	17.894790835			
T	59.605075603	17.895444988			
T	59.605468190	17.896788571			
T	59.606364621	17.898319055			
T	59.606886569	17.899884917			
T	59.607394200	17.900302001			
T	59.608165631	17.901619426			
T	59.608818394	17.903410395			
T	59.609463112	17.904512010			
T	59.609592163	17.904732519			
T	59.610490556	17.905816066			
T	59.610746285	17.906027063			
T	59.611264122	17.906911599			
T	59.612168737	17.908230640			
T	59.612558243	17.908895927			
T	59.613465371	17.910218830			
T	59.614377236	17.911776254			
T	59.614890160	17.911971581			
T	59.615403652	17.912167130			
T	59.616045586	17.912353806			
T	59.616691406	17.912773224			
T	59.617209905	17.913202238			
T	59.617725998	17.913398998			
T	59.618242677	17.913595986			
T	59.619020276	17.914008431			
T	59.619280765	17.914223786			
T	59.620324183	17.915086445			
T	59.620717565	17.915527211			
T	59.621240593	17.915959727			
T	59.622029238	17.916843288			
T	59.622689457	17.917736769			
T	59.623214702	17.918171498			
T	59.623743543	17.918841019			
T	59.624533419	17.919495016			
T	59.625191176	17.919923552			
T	59.625986512	17.920814399			
T	59.626518484	17.921487492			
T	59.627185048	17.922388750			
T	59.628255311	17.923974753			
T	59.629729000	17.926014148			
T	59.629992518	17.925999649			
T	59.630928057	17.926893356			
T	59.631462624	17.927337361			
T	59.632262615	17.927767867			
T	59.633190652	17.927718740			
T	59.634123560	17.927906473			
T	59.634922110	17.927864405			
T	59.635855484	17.927815232			
T	59.636523334	17.927780046			
T	59.637192145	17.927744808			
T	59.637858890	17.927471580			
T	59.638127071	17.927457379			
T	59.639604823	17.927379123			
T	59.640547654	17.927329190			
