type	latitude	longitude	name	desc	kml_folder
T	59.301686821	18.032262198	Huddinge [4:LineString]		HammarbyV.kmz
T	59.301992746	18.033207457			
T	59.302201125	18.034164488			
T	59.302512497	18.035502616			
T	59.302710593	18.035676261			
T	59.303310475	18.036589821			
T	59.303812987	18.037515329			
T	59.304011492	18.037689497			
T	59.304604792	18.038016001			
T	59.305299443	18.038528314			
T	59.305596643	18.038691912			
T	59.306194085	18.039215959			
T	59.306592702	18.039565621			
T	59.306994180	18.040112250			
T	59.307297414	18.040670058			
T	59.307901708	18.041589612			
T	59.308301419	18.041940562			
T	59.308703990	18.042488759			
T	59.308517005	18.043298035			
T	59.308519611	18.043495018			
T	59.308236635	18.044511427			
T	59.307686667	18.047723669			
T	59.307406668	18.048934997			
T	59.307028349	18.050155713			
T	59.306184451	18.053390701			
T	59.305543225	18.056994728			
T	59.305173784	18.058799763			
T	59.305191806	18.060174373			
T	59.305222664	18.062530828			
T	59.305248346	18.064494520			
T	59.305077756	18.066475437			
T	59.305093130	18.067653437			
T	59.305111052	18.069027764			
T	59.305121287	18.069813088			
T	59.305051303	18.071980875			
T	59.305061518	18.072766128			
T	59.305084485	18.074532931			
T	59.305104879	18.076103411			
T	59.305205534	18.076291926			
