type	latitude	longitude	name	desc	kml_folder
T	59.261444495	18.047557130	Huddinge [3:LineString]		Hogdalen-hammarby-orninge.kmz
T	59.262243535	18.047446510			
T	59.263310756	18.047298745			
T	59.264023400	18.047200063			
T	59.264647731	18.047113602			
T	59.265724556	18.047321214			
T	59.266082344	18.047271777			
T	59.266711478	18.047363379			
T	59.267162000	18.047479810			
T	59.267882138	18.047559263			
T	59.268510900	18.047472678			
T	59.268693123	18.047626454			
T	59.268962904	18.047589346			
T	59.269322819	18.047539838			
T	59.269955687	18.047631862			
T	59.270591730	18.047902850			
T	59.271045446	18.048019920			
T	59.271406732	18.047970456			
T	59.272134917	18.048229644			
T	59.272682909	18.048513865			
T	59.273324551	18.048965365			
T	59.273780520	18.049083177			
T	59.274516737	18.049702705			
T	59.274791843	18.049845465			
T	59.275433473	18.050118969			
T	59.276078296	18.050572569			
T	59.276263020	18.050727952			
T	59.277096250	18.051517800			
T	59.277281307	18.051673489			
T	59.277839301	18.052320935			
T	59.278400296	18.053149186			
T	59.279050996	18.053786084			
T	59.279422462	18.054098844			
T	59.279794174	18.054411823			
T	59.280265288	18.055254480			
T	59.280642458	18.055929129			
T	59.281111817	18.056592492			
T	59.281487092	18.057087454			
T	59.281862614	18.057582760			
T	59.282240835	18.058259177			
T	59.282616855	18.058755222			
T	59.282900870	18.059263139			
T	59.283469319	18.060279761			
T	59.284030979	18.060754211			
T	59.284500683	18.061240528			
T	59.284975678	18.062089723			
T	59.285070724	18.062259648			
T	59.285453512	18.063120950			
T	59.286022042	18.063960513			
T	59.286593584	18.064982432			
T	59.286974927	18.065664297			
T	59.287351624	18.065983396			
T	59.287640433	18.066677018			
T	59.288017572	18.066996664			
T	59.288588648	18.067840178			
T	59.288875624	18.068353191			
T	59.289349338	18.068844922			
T	59.289921744	18.069690403			
T	59.290300401	18.070011751			
T	59.290681761	18.070515476			
T	59.290873760	18.070858572			
T	59.291731199	18.071856937			
T	59.292209745	18.072533871			
T	59.292589930	18.072856863			
T	59.292972820	18.073362624			
T	59.293447507	18.073675727			
T	59.293734470	18.074009858			
T	59.294402980	18.074668308			
T	59.295072277	18.075327563			
T	59.295643087	18.075631865			
T	59.296214475	18.075936490			
T	59.296788896	18.076424601			
T	59.297456110	18.076719777			
T	59.297932125	18.076852257			
T	59.298313719	18.076995005			
T	59.299077683	18.077280798			
T	59.299457599	18.077240219			
T	59.300125531	18.077352872			
T	59.300598899	18.077118306			
T	59.300979852	18.077077609			
T	59.301265736	18.077047067			
T	59.301647143	18.077006319			
T	59.302312770	18.076750830			
T	59.302886051	18.076689477			
T	59.303268565	18.076648538			
T	59.303747075	18.076597322			
T	59.303752002	18.076966026			
T	59.303158408	18.082748819			
T	59.302376736	18.088726777			
T	59.301840708	18.091541510			
T	59.301755078	18.092286289			
T	59.301980975	18.109394656			
T	59.302384469	18.111021456			
T	59.302592352	18.112295409			
T	59.302800294	18.113569808			
T	59.303010708	18.115028765			
T	59.303223589	18.116672377			
T	59.303659142	18.120698157			
T	59.303774073	18.122165603			
T	59.303891411	18.123817545			
T	59.303898620	18.124370268			
T	59.303913031	18.125475712			
T	59.303929834	18.126765395			
T	59.303956215	18.128792033			
T	59.303968198	18.129713230			
T	59.303994538	18.131739860			
T	59.304011286	18.133029532			
T	59.304020851	18.133766486			
T	59.304032802	18.134687678			
T	59.304145254	18.135972331			
T	59.304494575	18.140749152			
T	59.304609433	18.142219105			
T	59.304855802	18.146450242			
T	59.305099762	18.150498485			
T	59.305216992	18.152154344			
T	59.305224100	18.152707544			
T	59.304847718	18.153274719			
T	59.305353159	18.155285826			
T	59.305460919	18.156204671			
T	59.305854276	18.156929713			
T	59.306163653	18.158581111			
T	59.306377068	18.160236268			
T	59.306588179	18.161707402			
T	59.306696115	18.162627793			
T	59.306909668	18.164284404			
T	59.307116206	18.165387519			
T	59.307322807	18.166491025			
T	59.307527116	18.167410159			
T	59.307536534	18.168149205			
T	59.307644595	18.169070904			
T	59.307658711	18.170179571			
T	59.307771480	18.171471124			
T	59.307783230	18.172395099			
T	59.307802018	18.173873463			
T	59.307827827	18.175906217			
T	59.307844237	18.177199796			
T	59.307952287	18.178122474			
T	59.308079076	18.180523964			
T	59.308095448	18.181817786			
T	59.308203510	18.182741045			
T	59.308306912	18.183294742			
T	59.308316257	18.184034206			
T	59.308422008	18.184772949			
T	59.308534776	18.186066522			
T	59.308640554	18.186805580			
T	59.308746346	18.187544773			
T	59.308948649	18.188283688			
T	59.309256891	18.189762588			
T	59.309466347	18.191057372			
T	59.309671208	18.191982460			
T	59.309873806	18.192722764			
T	59.310182480	18.194204041			
T	59.310387569	18.195130271			
T	59.310488976	18.195500899			
T	59.310595049	18.196242064			
T	59.310901738	18.197539934			
T	59.311109378	18.198652658			
T	59.311416313	18.199951757			
T	59.311524850	18.200879304			
T	59.311730360	18.201807811			
T	59.311838941	18.202735777			
T	59.311952173	18.204034814			
T	59.312259493	18.205336298			
T	59.312560009	18.206081827			
T	59.312765845	18.207012097			
