type	latitude	longitude	eos	name	desc	kml_folder
T	59.185259010	17.578290845		Huddinge		Stockholm_DHN.kmz
T	59.185102256	17.579807618				
T	59.184625583	17.583987165				
T	59.184501229	17.587347997				
T	59.184207150	17.591484925				
T	59.183724120	17.595289882				
T	59.183417177	17.598685774				
T	59.183286198	17.601673760				
T	59.183299039	17.602411186				
T	59.183356767	17.605729539				
T	59.183062478	17.609859627				
T	59.182931293	17.612845488				
T	59.182819184	17.616936361				
T	59.182831929	17.617673410				
T	59.182863771	17.619516020				
T	59.182901943	17.621727088				
T	59.183349136	17.626446015				
T	59.183425188	17.630868563				
T	59.183482120	17.634185336				
T	59.183570496	17.639344545				
T	59.183803278	17.642258119				
T	59.184212160	17.644769324				
T	59.184809928	17.647615980				
T	59.185225288	17.650497751				
T	59.185262902	17.652710052				
T	59.185640706	17.653380455				
T	59.185860948	17.655559728				
T	59.186074941	17.657370522				
T	59.186502923	17.660992953				
T	59.186698216	17.661697882				
T	59.186930933	17.664616506				
T	59.187365181	17.668610144				
T	59.187377617	17.669348085				
T	59.187597830	17.671529932				
T	59.187635073	17.673743875				
T	59.187842844	17.675188177				
T	59.187892404	17.678140252				
T	59.187948074	17.681461285				
T	59.188174320	17.684013325				
T	59.188186663	17.684751359				
T	59.188419028	17.687672884				
T	59.188663660	17.691332938				
T	59.188718973	17.694654466				
T	59.188969568	17.698684311				
T	59.189183336	17.700500165				
T	59.189409351	17.703054548				
T	59.189629228	17.705240164				
T	59.189671968	17.707824176				
T	59.190246169	17.709214495				
T	59.190472157	17.711770559				
T	59.190685963	17.713588451				
T	59.191297035	17.717197021				
T	59.191682249	17.718249134				
T	59.192263324	17.720012738				
T	59.193040506	17.722488798				
T	59.193806007	17.724226981				
T	59.194222226	17.727130563				
T	59.194614329	17.728555549				
T	59.194804372	17.728898322				
T	59.195012574	17.730350966				
T	59.195404888	17.731776978				
T	59.195869635	17.737644147				
T	59.196470425	17.740526155				
T	59.196911100	17.744916275				
T	59.197113438	17.746001182				
T	59.197321792	17.747456533				
T	59.198107526	17.750317326				
T	59.198512509	17.752489319				
T	59.198911614	17.754291540				
T	59.199501502	17.756440123				
T	59.200276476	17.758565171				
T	59.200473268	17.759282025				
T	59.201063817	17.761433325				
T	59.201487407	17.764722595				
T	59.202090218	17.767618130				
T	59.202496172	17.769796660				
T	59.203081557	17.771581296				
T	59.203870363	17.774457228				
T	59.204450419	17.775872764				
T	59.204845160	17.777312063				
T	59.205623143	17.779449069				
T	59.206024127	17.781261320				
T	59.206785087	17.782285595				
T	59.207378254	17.784448572				
T	59.208140063	17.785474555				
T	59.208722049	17.786895578				
T	59.209106261	17.787595256				
T	59.209694580	17.789389630				
T	59.210277272	17.790812621				
T	59.210673727	17.792258173				
T	59.210877871	17.793353525				
T	59.211455210	17.794405786				
T	59.212044566	17.796203752				
T	59.212056309	17.796948900				
T	59.213037179	17.799823628				
T	59.213428552	17.800899659				
T	59.213825908	17.802348916				
T	59.214427998	17.804896678				
T	59.214620953	17.805248907				
T	59.215018635	17.806699655				
T	59.215621215	17.809249842				
T	59.216428921	17.812900968				
T	59.217026230	17.815080917				
T	59.217412933	17.815787995				
T	59.217993212	17.816849054				
T	59.219154591	17.818972837				
T	59.219741508	17.820409366				
T	59.220317070	17.821098827				
T	59.221474838	17.822852927				
T	59.222245365	17.823898596				
T	59.222827939	17.824964073				
T	59.223793709	17.826366607				
T	59.224188356	17.827452344				
T	59.225155207	17.828856813				
T	59.225550281	17.829943643				
T	59.226323405	17.830993691				
T	59.227297751	17.832776130				
T	59.227882734	17.833846337				
T	59.228467991	17.834917104				
T	59.229242977	17.835970262				
T	59.229828891	17.837042238				
T	59.230409296	17.837739172				
T	59.230989982	17.838436478				
T	59.231973837	17.840601764				
T	59.232935355	17.841264831				
T	59.233719006	17.842698491				
T	59.234301294	17.843398130				
T	59.235662998	17.845157561				
T	59.236633290	17.846200388				
T	59.237604378	17.847244129				
T	59.238767265	17.848271620				
T	59.239740100	17.849317280				
T	59.240325336	17.850020576				
T	59.241102251	17.850707265				
