type	latitude	longitude	name	desc	kml_folder
T	59.384735636	18.035978379	Huddinge [8:LineString]		Sunbybergy-Täbykmz.kmz
T	59.386115582	18.036273190			
T	59.386648039	18.036433922			
T	59.387502310	18.036773201			
T	59.387821043	18.036747311			
T	59.388352750	18.036704122			
T	59.389100858	18.036848234			
T	59.389530041	18.037018442			
T	59.389956919	18.036983955			
T	59.390707595	18.037128547			
T	59.391569302	18.037469984			
T	59.392325267	18.037820613			
T	59.392864825	18.037983342			
T	59.393189940	18.038163302			
T	59.393733197	18.038532083			
T	59.394274369	18.038695478			
T	59.394818872	18.039065006			
T	59.395361291	18.039228908			
T	59.395793507	18.039195239			
T	59.396226122	18.039161537			
T	59.397092549	18.039094038			
T	59.397740704	18.038836727			
T	59.398392476	18.038785797			
T	59.399045152	18.038734793			
T	59.399807752	18.038675196			
T	59.400353224	18.038632565			
T	59.400790057	18.038598423			
T	59.401558216	18.038746056			
T	59.401996166	18.038711922			
T	59.402324894	18.038686300			
T	59.403202625	18.038617883			
T	59.403642103	18.038583625			
T	59.403861996	18.038566484			
T	59.404852778	18.038489244			
T	59.405073233	18.038472057			
