type	latitude	longitude	name	desc	kml_folder
T	59.609736595	17.796867637	Huddinge [12:LineString]		Vallsta-outwards.kmz
T	59.609720392	17.795668306			
T	59.610015569	17.793210894			
T	59.610134783	17.789881773			
T	59.610049353	17.783581926			
T	59.609975946	17.778181735			
T	59.609918736	17.773981377			
T	59.610025312	17.769748077			
T	59.610168745	17.768214637			
T	59.610316314	17.766980923			
T	59.610275257	17.763979015			
T	59.610242374	17.761577411			
T	59.610365234	17.758540933			
T	59.610336396	17.756439107			
T	59.610135278	17.753771766			
T	59.610106384	17.751670125			
T	59.610077466	17.749568432			
T	59.610187684	17.745628881			
T	59.610146257	17.742625807			
T	59.610441182	17.740149145			
T	59.610407963	17.737745819			
T	59.610387184	17.736243705			
T	59.610366392	17.734741583			
T	59.610341425	17.732938966			
T	59.610320605	17.731436760			
T	59.610287266	17.729033187			
T	59.610262240	17.727230437			
T	59.610064786	17.724865985			
T	59.610035539	17.722762974			
T	59.610006267	17.720659904			
T	59.609976969	17.718556775			
T	59.610107500	17.716112602			
T	59.610090728	17.714910559			
T	59.610061359	17.712806962			
T	59.610031963	17.710703303			
T	59.609998338	17.708299038			
T	59.609968888	17.706195246			
T	59.609935200	17.703790848			
T	59.609909912	17.701987476			
T	59.609867724	17.698981764			
T	59.609829710	17.696276519			
T	59.609947252	17.692926067			
T	59.610073240	17.690175887			
T	59.610228913	17.689530057			
T	59.610194986	17.687124032			
T	59.610152531	17.684116358			
T	59.610105770	17.680807769			
T	59.610097261	17.680206171			
T	59.610075980	17.678702212			
T	59.610058946	17.677498992			
T	59.609860722	17.675139021			
T	59.609351559	17.674075838			
T	59.608825744	17.671811478			
T	59.608981057	17.671163379			
