type	latitude	longitude	name	desc	kml_folder
T	59.358482184	18.077119168	Huddinge [7:LineString]		Varta-solna-sundbyberg-loop.kmz
T	59.358474509	18.076526188			
T	59.358456590	18.075142569			
T	59.358428404	18.072968307			
T	59.358410449	18.071584684			
T	59.358453569	18.067231245			
T	59.358420100	18.064661352			
T	59.358384002	18.061893766			
T	59.358363349	18.060312283			
T	59.358544589	18.058916806			
T	59.358521308	18.057137227			
T	59.358589923	18.054758135			
T	59.358653318	18.051982939			
T	59.358716672	18.049207099			
T	59.358706268	18.048415891			
T	59.358588325	18.047038459			
T	59.358562277	18.045060649			
T	59.358546635	18.043873958			
T	59.358520540	18.041896132			
T	59.358594132	18.039910306			
T	59.358570594	18.038130041			
T	59.358641525	18.035945708			
T	59.358730794	18.035145853			
T	59.358906753	18.033347690			
T	59.358898877	18.032753988			
T	59.359080138	18.031350756			
T	59.359161590	18.029956006			
T	59.359342943	18.028551648			
T	59.359526996	18.027344710			
T	59.359516452	18.026552463			
T	59.359597949	18.025156355			
T	59.359674165	18.023363703			
T	59.359647734	18.021382600			
T	59.359642444	18.020986377			
T	59.359629214	18.019995815			
T	59.359600084	18.017816570			
T	59.359594784	18.017420340			
T	59.359378961	18.016253010			
T	59.359257815	18.014679295			
T	59.359139335	18.013303948			
T	59.359015549	18.011532890			
T	59.358910380	18.011148128			
T	59.358700110	18.010378858			
T	59.358589688	18.009598509			
T	59.358061839	18.007479677			
T	59.357846592	18.006316380			
T	59.357639420	18.005746775			
T	59.357526542	18.004770110			
T	59.357104549	18.003039384			
T	59.356997105	18.002458745			
T	59.356779612	18.001100312			
T	59.356559530	17.999544975			
T	59.356342195	17.998187789			
T	59.356323488	17.996805528			
T	59.356208158	17.995633699			
T	59.356092845	17.994462124			
T	59.355977545	17.993290806			
T	59.355958792	17.991908978			
T	59.355741627	17.990554214			
T	59.355728215	17.989567398			
T	59.355717481	17.988777947			
T	59.355698685	17.987396390			
T	59.355690625	17.986804286			
T	59.355677186	17.985817447			
T	59.355765609	17.985013815			
T	59.355854049	17.984209992			
T	59.355937118	17.983011107			
T	59.356022889	17.982009404			
T	59.356202564	17.980597830			
T	59.356387703	17.979580713			
T	59.356564813	17.977970328			
T	59.356747391	17.976754492			
T	59.356927332	17.975340401			
T	59.357018683	17.974731966			
T	59.357292839	17.972905833			
T	59.357389687	17.972692462			
T	59.357569871	17.971276291			
T	59.358216017	17.967403634			
T	59.358982093	17.964895493			
T	59.359582093	17.964796425			
T	59.360383333	17.964664120			
T	59.361286421	17.964514982			
T	59.361987333	17.964199885			
T	59.362689332	17.963884287			
T	59.363294264	17.963784090			
T	59.364102090	17.963650276			
T	59.364506543	17.963583276			
T	59.365215200	17.963465874			
T	59.365519247	17.963415500			
T	59.365924961	17.963348279			
T	59.366435359	17.963464045			
T	59.366841885	17.963396775			
T	59.367658781	17.963462204			
T	59.368474381	17.963327404			
T	59.369089792	17.963426612			
T	59.369706028	17.963525954			
T	59.370835642	17.963541038			
T	59.371248857	17.963674412			
T	59.371659682	17.963606856			
T	59.372487960	17.963874032			
T	59.373005697	17.963990921			
T	59.373629960	17.964292554			
T	59.374255061	17.964594600			
T	59.374777544	17.964913876			
T	59.375616950	17.965587010			
T	59.375930731	17.965738761			
T	59.376558929	17.966042561			
T	59.377089536	17.966767982			
T	59.377199049	17.967155897			
T	59.377024299	17.969615832			
T	59.376734658	17.971281978			
T	59.376540744	17.972324722			
T	59.376453468	17.973553195			
T	59.376470001	17.974765677			
T	59.376494782	17.976584376			
T	59.376505788	17.977392682			
T	59.376423980	17.979024479			
T	59.376749211	17.979989449			
T	59.376891534	17.982804305			
T	59.377017384	17.984406814			
T	59.377189782	17.989446694			
T	59.377466029	17.994474148			
T	59.377485121	17.995889653			
T	59.377739493	17.999301519			
T	59.378078984	18.001286139			
T	59.378207596	18.003094618			
T	59.378440408	18.004891256			
T	59.378665158	18.006081404			
T	59.378999739	18.007665137			
T	59.379342661	18.009857683			
T	59.379774008	18.010824311			
T	59.380101156	18.011803288			
T	59.380442061	18.013796966			
T	59.380893306	18.016186806			
T	59.381339510	18.018172860			
T	59.381664948	18.018952895			
T	59.382006815	18.020952246			
T	59.382658769	18.022515865			
T	59.382985070	18.023298489			
T	59.383092985	18.023491699			
T	59.383430375	18.025088754			
T	59.383757183	18.025872910			
T	59.383978773	18.026667380			
T	59.384200459	18.027462218			
T	59.384422241	18.028257428			
T	59.384760486	18.029858354			
T	59.384982507	18.030654575			
T	59.385098942	18.031460394			
T	59.385220785	18.032674010			
T	59.385239628	18.034100649			
T	59.385356099	18.034907045			
T	59.384952218	18.036368453			
T	59.384005221	18.036649732			
T	59.383373177	18.036701337			
T	59.382009374	18.037015964			
T	59.381484875	18.037058662			
T	59.380856259	18.037109833			
T	59.380330391	18.036949730			
T	59.379700666	18.036798357			
T	59.379071795	18.036647197			
T	59.378342302	18.036707060			
T	59.377715269	18.036556188			
T	59.377400738	18.036379812			
T	59.376562135	18.035842787			
T	59.376352053	18.035658232			
T	59.375616175	18.034912147			
T	59.375303056	18.034736745			
T	59.374884114	18.034368741			
T	59.374566158	18.033790847			
T	59.373936206	18.033038796			
T	59.373515819	18.032470943			
T	59.372467817	18.031154060			
T	59.372051400	18.030788840			
T	59.371630029	18.030022424			
T	59.371214353	18.029658053			
T	59.370378791	18.028529333			
T	59.369961565	18.027965747			
T	59.369335090	18.027021200			
T	59.368816763	18.026468571			
T	59.368505512	18.026097282			
T	59.367781834	18.025365201			
T	59.367471271	18.024994712			
T	59.367262571	18.024614654			
T	59.366436660	18.023695024			
T	59.365820178	18.023156018			
T	59.365409644	18.022797086			
T	59.364898315	18.022448521			
T	59.364485942	18.021891084			
T	59.364382243	18.021702012			
T	59.363768481	18.021165581			
T	59.363250998	18.020221804			
T	59.362946089	18.020053763			
T	59.362429507	18.019111469			
T	59.361916145	18.018368872			
T	59.361094339	18.017063390			
T	59.360387384	18.016740992			
T	59.359776228	18.016012118			
T	59.359770922	18.015615795			
