NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
TotCapacityAnn,78.0,,STOCKHOLM,,,,,,,,,,BristaB2,2023.0,ResidualCapacity,,
TotCapacityAnn,88.0,,STOCKHOLM,,,,,,,,,,BristaB2,2024.0,ResidualCapacity,,
TotCapacityAnn,98.0,,STOCKHOLM,,,,,,,,,,BristaB2,2025.0,ResidualCapacity,,
TotCapacityAnn,108.0,,STOCKHOLM,,,,,,,,,,BristaB2,2026.0,ResidualCapacity,,
TotCapacityAnn,118.0,,STOCKHOLM,,,,,,,,,,BristaB2,2027.0,ResidualCapacity,,
TotCapacityAnn,118.0,,STOCKHOLM,,,,,,,,,,BristaB2,2028.0,ResidualCapacity,,
TotCapacityAnn,111.0,,STOCKHOLM,,,,,,,,,,BristaB2,2029.0,ResidualCapacity,,
TotCapacityAnn,104.0,,STOCKHOLM,,,,,,,,,,BristaB2,2030.0,ResidualCapacity,,
TotCapacityAnn,98.0,,STOCKHOLM,,,,,,,,,,BristaB2,2031.0,ResidualCapacity,,
TotCapacityAnn,91.0,,STOCKHOLM,,,,,,,,,,BristaB2,2032.0,ResidualCapacity,,
TotCapacityAnn,84.0,,STOCKHOLM,,,,,,,,,,BristaB2,2033.0,ResidualCapacity,,
TotCapacityAnn,77.0,,STOCKHOLM,,,,,,,,,,BristaB2,2034.0,ResidualCapacity,,
TotCapacityAnn,70.0,,STOCKHOLM,,,,,,,,,,BristaB2,2035.0,ResidualCapacity,,
TotCapacityAnn,64.0,,STOCKHOLM,,,,,,,,,,BristaB2,2036.0,ResidualCapacity,,
TotCapacityAnn,57.0,,STOCKHOLM,,,,,,,,,,BristaB2,2037.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2038.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2039.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2040.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2041.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2042.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2043.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2044.0,ResidualCapacity,,
TotCapacityAnn,50.0,,STOCKHOLM,,,,,,,,,,BristaB2,2045.0,ResidualCapacity,,
